source_id,display_name,publisher,type,issns,is_valid,is_distinct,duplicate_of,concern
S7407059868,YGS-DEV,Yukon Geological Survey,repository,,False,True,,"The display_name ""YGS-DEV"" appears to be a development/test artifact (a bare abbreviation with a ""-DEV"" suffix) rather than a genuine scholarly venue title."
S7407059870,bsc,Barcelona Supercomputing Center,repository,,False,True,,"The display_name ""bsc"" is a bare, ambiguous abbreviation that appears to duplicate the publisher (Barcelona Supercomputing Center) rather than name an actual repository venue."
S7407059872,Burnet Institute,Burnet Institute,repository,,False,True,,"The name is a bare organization/publisher name (a research institute) with no ISSN, appearing to masquerade as a venue rather than a genuine named repository."
S7407059875,mVedra,Vedra Solutions,repository,,False,True,,"""mVedra"" with no ISSNs appears to be a product/brand name from Vedra Solutions rather than an identifiable scholarly repository or venue."
S7407059886,Institut für deutsche Kultur und Geschichte Südosteuropas e.V.,Institut für deutsche Kultur und Geschichte Südosteuropas e.V.,repository,,False,True,,The display name is identical to the publisher name and is a bare institution/organization name rather than an actual scholarly venue title.
S7407059887,Khayala Mammadova,Azerbaijan Academy of Labor and Social Relations,repository,,False,True,,"The display name ""Khayala Mammadova"" is a personal name, not a genuine scholarly venue title."
S7407059888,Khayala Mammadova,Azerbaijan Academy of Labor and Social Relations,repository,,False,True,,"The display name ""Khayala Mammadova"" is a personal name, not a scholarly venue title."
S7407059900,Fondazione GEM,CRUI Bucket,repository,,False,True,,"""Fondazione GEM"" appears to be a foundation/organization name rather than a genuine scholarly venue, and ""CRUI Bucket"" looks like a spurious publisher label."
S7407059905,Curtin University of Technology,Curtin University of Technology,repository,,False,True,,"The name is a bare institution/publisher name (""Curtin University of Technology"") masquerading as a repository venue rather than a specific scholarly venue title."
S7407059926,Department of Mining and Energy,Directorate-General for Energy NT,repository,,False,True,,"""Department of Mining and Energy"" is a bare government organization/department name, not a genuine scholarly venue, and lacks ISSNs."
S7407059930,CFI-FCI,Canada Foundation for Innovation,repository,,False,True,,"""CFI-FCI"" is a bare abbreviation of the funding organization (Canada Foundation for Innovation) rather than a genuine scholarly venue, and has no ISSNs."
S7407059934,cmip7-citations,Science and Technology Facilities Council,repository,,False,True,,"The name ""cmip7-citations"" looks like a technical/dataset slug rather than a genuine scholarly venue title, suggesting a junk or auto-generated record."
S7407059937,Digitalen Zugang zu Wissen demokratisch gestalten  e.V. (DiGZ e. V.),TIB-DOI-Gemeinschaftskonto,repository,,False,True,,"This appears to be an organization/association name (an e.V. registered association) with a DOI-account publisher rather than an actual scholarly venue title, and it is unrelated to the ""Digital"" journal candidate."
S7407059940,European Directorate for the Quality of Medicines and HealthCare,European Directorate for the Quality of Medicines and HealthCare,repository,,False,True,,The name is a bare organization/publisher name (EDQM) masquerading as a venue rather than a genuine scholarly repository title.
S7407059941,Chester Beatty Library,Chester Beatty Library,repository,,False,True,,"The Chester Beatty Library is an institution/museum name rather than a scholarly venue, and no ISSNs or other venue identifiers are provided."
S7407059943,Crossref DOIs,Arab Center For Research and Policy Studies,repository,,False,True,,"""Crossref DOIs"" is not a genuine scholarly venue but an infrastructure/metadata artifact, inconsistently attributed to an unrelated publisher."
S7407059944,Albert Einstein Medical College,Albert Einstein Medical College,repository,,False,True,,"The name is a bare institution/organization name (a medical college) masquerading as a repository venue, with no distinguishing repository title or ISSN."
S7407059948,RAISE,RAISE,repository,,False,True,,"The name ""RAISE"" is a bare acronym with the publisher identical to the display name and no ISSN, making it ambiguous and likely an organization masquerading as a venue rather than a clearly identifiable scholarly venue."
S7407059954,BA Justiz,Deactivated repositories,repository,,False,True,,"The publisher ""Deactivated repositories"" and terse name ""BA Justiz"" suggest a decommissioned or junk repository record rather than a genuine active scholarly venue."
S7407059957,BOP: BAF,Repositories moved to a different RA,repository,,False,True,,"The name ""BOP: BAF"" is a cryptic/garbled abbreviation with no clear venue meaning, and the publisher ""Repositories moved to a different RA"" is an administrative note rather than a genuine publisher, suggesting a junk record."
S7407059958,BOP: EHB,Repositories moved to a different RA,repository,,False,True,,"The display name ""BOP: EHB"" is a cryptic abbreviation and the publisher field (""Repositories moved to a different RA"") is administrative metadata rather than a genuine venue identity."
S7407059959,BOP: HASBOnline,Repositories moved to a different RA,repository,,False,True,,"The publisher field ""Repositories moved to a different RA"" reads as an administrative note rather than a genuine publisher, and the ambiguous ""BOP: HASBOnline"" name suggests a defunct or migrated record rather than an active scholarly venue."
S7407059961,BOP - itw: im dialog,Repositories moved to a different RA,journal,,False,True,,"The publisher field (""Repositories moved to a different RA"") is a system/status note rather than a real publisher, and the display name looks garbled/technical, suggesting a junk or malformed record."
S7407059962,BOP: JDS,Repositories moved to a different RA,repository,,False,True,,"The display name ""BOP: JDS"" is a cryptic abbreviation and the publisher field ""Repositories moved to a different RA"" is an administrative note rather than a real publisher, suggesting a junk/placeholder record."
S7407059963,BOP: JEMR,Repositories moved to a different RA,repository,,False,True,,"The publisher field reads ""Repositories moved to a different RA,"" which is a metadata note rather than a real publisher, and the display_name ""BOP: JEMR"" is a garbled/abbreviation-only title with no ISSNs, casting doubt on validity."
S7407059965,BOP: Versants,Repositories moved to a different RA,repository,,False,True,,"The publisher field (""Repositories moved to a different RA"") is an administrative note rather than a real publisher, and the name looks like a fragmentary/placeholder record."
S7407059967,Uni Genf: Abrep,Repositories moved to a different RA,repository,,False,False,S7407051284,"The publisher field ""Repositories moved to a different RA"" is a placeholder/junk note, and the name appears to be a variant of the existing ""Uni Genf"" repository for Université de Genève."
S7407059969,Uni Genf: Lingua lugar,Repositories moved to a different RA,journal,,False,True,,"The publisher field ""Repositories moved to a different RA"" is a metadata note, not a real publisher, and the display name appears garbled, suggesting a junk record."
S7407059970,HOPE: Conexus,Repositories moved to a different RA,repository,,False,True,,"The publisher field ""Repositories moved to a different RA"" is an administrative note rather than a real publisher, and ""HOPE: Conexus"" lacks corroborating identifiers, casting doubt on its legitimacy as a scholarly venue."
S7407059974,HOPE: sui generis,Repositories moved to a different RA,repository,,False,True,,"The name ""HOPE: sui generis"" combined with the publisher ""Repositories moved to a different RA"" looks like a placeholder/administrative artifact rather than a genuine scholarly venue."
S7407059980,UB Basel Eterna,Repositories moved to a different RA,journal,,False,True,,"""UB Basel Eterna"" with publisher note ""Repositories moved to a different RA"" appears to be an institutional repository/system artifact rather than a genuine scholarly journal, and it lacks ISSNs."
S7407059982,SPARC,SPARC,repository,,False,True,,"SPARC is an advocacy coalition/organization (Scholarly Publishing and Academic Resources Coalition), not a scholarly repository or venue; the record appears to be an organization name masquerading as a venue."
S7407059986,IIEMSA,Deactivated repositories,repository,,False,True,,"The record is a bare acronym (""IIEMSA"") with no ISSN and a publisher labeled ""Deactivated repositories,"" suggesting a defunct or junk venue rather than a genuine scholarly source."
S7407059988,St. Edward's University,Deactivated repositories,repository,,False,True,,"The name is just a university/organization name with publisher ""Deactivated repositories,"" suggesting a bare institution name rather than a genuine venue title."
S7407059989,Zuyd University of Applied Sciences,Deactivated repositories,repository,,False,True,,"The name is a bare institution name (Zuyd University of Applied Sciences) with publisher ""Deactivated repositories,"" indicating a defunct/organizational record rather than a genuine active scholarly venue."
S7407059991,Universität Liechtenstein / Bibliothek,University of Liechtenstein,repository,,False,True,,"This is a library discovery/search portal for the University of Liechtenstein rather than a genuine scholarly venue, and the name is a bare institutional/library designation."
S7407059994,Plant Protection Society of Ethiopia,GAF Awardees,repository,,False,True,,"The name is an organization/society, not a venue title, and the publisher ""GAF Awardees"" appears to be junk metadata."
S7407059996,Arba Minch University,GAF Awardees,repository,,False,True,,"The display name ""Arba Minch University"" is a bare institution/organization name rather than an actual scholarly venue title, and the publisher ""GAF Awardees"" is suspicious."
S7407059997,Jimma University,GAF Awardees,repository,,False,True,,"""Jimma University"" is a bare institution name rather than a specific venue, and the publisher ""GAF Awardees"" looks spurious."
S7407060002,datalino,Deactivated repositories,repository,,False,True,,"The name ""datalino"" is a garbled/ambiguous single word with no ISSN and a publisher listed as ""Deactivated repositories,"" suggesting a junk or defunct record rather than a genuine scholarly venue."
S7407060005,Heinrich Böll Foundation,Deactivated repositories,repository,,False,True,,"""Heinrich Böll Foundation"" is an organization/foundation name rather than a scholarly venue, and the publisher ""Deactivated repositories"" suggests a defunct record."
S7407060011,vz-nrw (Verbraucherzentrale Nordrhein-Westfalen e. V.),Deactivated repositories,repository,,False,True,,"This is a consumer advocacy organization (Verbraucherzentrale NRW) listed under ""Deactivated repositories,"" not a genuine scholarly venue; it appears to be an organization name masquerading as a repository."
S7407060012,Tawuniya Repository,Tawuniya,repository,,False,True,,"""Tawuniya"" is a Saudi insurance company, not a recognized scholarly repository; this appears to be an organization name masquerading as a venue."
S7407060016,COLLECTEUR ANALYSEUR DE DONNEES,COLLECTEUR ANALYSEUR DE DONNEES,repository,,False,True,,"The name ""COLLECTEUR ANALYSEUR DE DONNEES"" (French for ""data collector analyzer"") reads like a generic descriptive phrase or organization/tool name rather than a genuine scholarly venue, and it duplicates the publisher field."
S7407060022,The Michael J. Fox Foundation for Parkinson's Research,The Michael J. Fox Foundation for Parkinson's Research,repository,,False,True,,"The display name is identical to the publisher (a funding organization), indicating a bare organization name masquerading as a venue rather than a genuine scholarly repository."
S7407060025,CRKN-DEV,Canadian Research Knowledge Network,repository,,False,True,,"The name ""CRKN-DEV"" appears to be a development/test record for the Canadian Research Knowledge Network organization rather than a genuine scholarly venue."
S7407060028,Ionion University,Deactivated repositories,repository,,False,True,,"The name appears to be a bare institution name (likely a misspelling of ""Ionian University"") rather than a scholarly venue, and the publisher ""Deactivated repositories"" suggests a defunct/junk record."
S7407060043,DataVerse Prueba,Deactivated repositories,repository,,False,True,,"The name ""DataVerse Prueba"" (""Prueba"" means ""test"" in Spanish) plus publisher ""Deactivated repositories"" indicates a test/junk record rather than a genuine venue."
S7407060049,ROR Registry and Hub,University of Southampton,repository,,False,True,,"""ROR Registry and Hub"" appears to be an organizational/infrastructure entity (Research Organization Registry) rather than a genuine scholarly publishing venue."
S7407060059,Commissariat à l’énergie atomique et aux énergies alternatives,CNRS-Bucket,repository,,False,True,,"The name is the French Alternative Energies and Atomic Energy Commission (CEA), a research organization rather than a scholarly venue, so it appears to be a bare institution name masquerading as a repository."
S7407060060,Gerardo Bautista,Repositories moved to a different RA,repository,,False,True,,"The display name ""Gerardo Bautista"" is a personal name, not a genuine scholarly venue title."
S7407060062,École Nationale Supérieure de l’Électronique et de ses Applications,CNRS-Bucket,repository,,False,True,,"""École Nationale Supérieure de l’Électronique et de ses Applications"" (ENSEA) is the name of an engineering school/organization, not a scholarly venue, so it appears to be an organization masquerading as a repository."
S7407060063,Ecole de Psychologues Praticiens,Deactivated repositories,repository,,False,True,,"""Ecole de Psychologues Praticiens"" is the name of an educational institution, not a scholarly venue, and the publisher ""Deactivated repositories"" suggests a junk/inactive record."
S7407060069,Conferences & Abstraits Management system,Deactivated repositories,repository,,False,True,,"The name ""Conferences & Abstraits Management system"" appears to be a garbled/misspelled generic software or management system label rather than a genuine scholarly venue, and the publisher ""Deactivated repositories"" signals a junk record."
S7407060076,Université d'Angers,CNRS-Bucket,repository,,False,True,,"The name ""Université d'Angers"" is a university/organization name masquerading as a venue, not a genuine scholarly repository title."
S7407060077,Université du Maine,CNRS-Bucket,repository,,False,True,,"""Université du Maine"" is a bare university/organization name rather than a scholarly venue title; distinct from the unrelated ""Univers"" journal."
S7407060078,Université Paris Diderot - Paris 7,CNRS-Bucket,repository,,False,True,,"The record is a bare university/organization name (Université Paris Diderot - Paris 7) rather than a scholarly venue title, so it appears to be an institution masquerading as a repository source."
S7407060084,Advocacy Unified Network,Deactivated repositories,repository,,False,True,,"The publisher ""Deactivated repositories"" and organizational name suggest this is not a genuine scholarly venue but an advocacy organization or defunct repository."
S7407060087,APFH - Associação Portuguesa de Farmacêuticos Hospitalares,Fundação para a Ciência e Tecnologia,journal,,False,True,,"The display name is a professional organization (Portuguese Association of Hospital Pharmacists) rather than a scholarly journal title, and it lacks ISSNs, suggesting an organization masquerading as a venue."
S7407060097,McGill-DEV,McGill University,repository,,False,True,,"The ""-DEV"" suffix and lack of ISSNs suggest a test/development record rather than a genuine venue."
S7407060101,Centre Gilles Gaston Granger,French National Centre for Scientific Research,journal,2105-0996,False,True,,"""Centre Gilles Gaston Granger"" is a research center/organization name, not a scholarly journal title."
S7407060105,"CREATION, ELEVAGE, PHENOTYPAGE, DISTRIBUTION ET ARCHIVAGE D'ORGANISMES MODELES",French National Centre for Scientific Research,repository,,False,True,,"The name reads as a description of a research facility's activities (creation, breeding, phenotyping, distribution and archiving of model organisms) rather than a scholarly venue title, and it lacks ISSNs."
S7407060122,SENSE,Energy Systems Catapult,repository,,False,True,,"""SENSE"" is an ambiguous bare acronym with no ISSN and appears more like a project/organization name from Energy Systems Catapult than a genuine scholarly repository venue."
S7407060130,Azerbaijan Academy of Labor and Social Relations,Azerbaijan Academy of Labor and Social Relations,repository,,False,True,,The display name is identical to the publisher and appears to be a bare institution/organization name rather than an actual scholarly venue title.
S7407060131,GBCL Data Management System,CAB International,repository,,False,True,,"""GBCL Data Management System"" appears to be an internal software/data system rather than a genuine scholarly venue, and has no ISSN."
S7407060135,Living Goods,Deactivated repositories,repository,,False,True,,"""Living Goods"" is the name of a nonprofit organization/publisher rather than a scholarly venue, and the publisher ""Deactivated repositories"" suggests a junk/deactivated record."
S7407060139,Università Cattolica del Sacro Cuore,Università Cattolica del Sacro Cuore,repository,,False,False,S4306481555,"The name is a bare university/publisher name masquerading as a repository venue, and it appears to be the same institutional venue as the existing ""Università Cattolica del Sacro Cuore eBooks"" source."
S7407060140,UREG-DEV,University of Regina,repository,,False,True,,"The name ""UREG-DEV"" appears to be a development/test repository slug rather than a genuine scholarly venue title."
S7407060148,MedStar,MedStar Health Research Institute,repository,,False,True,,"""MedStar"" appears to be a bare organization/health-system name rather than a specific scholarly venue title, though it could be an institutional repository."
S7407060151,Nürnberg Institut für Marktentscheidungen (NIM),Nürnberg Institut für Marktentscheidungen e.V.,repository,,False,True,,"This appears to be a research institute/organization name (NIM e.V.) rather than a genuine scholarly venue, and the display_name matches the publisher."
S7407060154,Melbourne Institute of Technology,Melbourne Institute of Technology,repository,,False,True,,"The display name is a bare institution name identical to the publisher, appearing to be an organization masquerading as a venue rather than a named repository."
S7407060159,Manchester Metropolitan University,Manchester Metropolitan University,repository,,False,False,S7407050777,"The name is a bare university/organization name rather than a venue title, and it duplicates existing repository records for the same institution."
S7407060168,Doktoranduszok Országos Szövetsége,MTAKIK bucket,journal,,False,True,,"""Doktoranduszok Országos Szövetsége"" is the Hungarian National Association of Doctoral Students, an organization name rather than a scholarly venue, and the publisher field (""MTAKIK bucket"") appears to be junk."
S7407060169,Eötvös Loránd Tudományegyetem,Eötvös Loránd Tudományegyetem,repository,,False,True,,"The name is just the bare university name (Eötvös Loránd University) acting as a repository, which reads as an organization name rather than a genuine venue title."
S7407060170,Gondolat Kiadó,MTAKIK bucket,journal,,False,False,S4306471565,"""Gondolat Kiadó"" is a bare publisher name mislabeled as a journal, and it matches the existing ""Gondolat Kiadó eBooks"" platform."
S7407060172,Nemzeti Közszolgálati Egyetem,MTAKIK bucket,repository,,False,True,,"The name ""Nemzeti Közszolgálati Egyetem"" (National University of Public Service) is a bare institution name masquerading as a repository venue, not a specific scholarly venue title."
S7407060183,Hisst v2,Council of European Aerospace Societies (CEAS),repository,,False,True,,"""Hisst v2"" looks like a garbled/truncated or versioned label rather than a genuine venue title, though it is plausibly tied to a CEAS conference series."
S7407060188,Forschungsinstitut Betriebliche Bildung (f-bb) gGmbH,Forschungsinstitut Betriebliche Bildung (f-bb) gGmbH,repository,,False,True,,"This is a bare research-institute/organization name (f-bb gGmbH) masquerading as a repository venue, not a genuine scholarly venue title."
S7407060190,INST - DESY - Deutsches Elektronen-Synchrotron,Deutsches Elektronen-Synchrotron DESY,repository,,False,True,,"The name ""INST - DESY - Deutsches Elektronen-Synchrotron"" appears to be a bare institution/organization label rather than a genuine scholarly venue or repository title."
S7407060191,Reports & Information,Saudi Water Authority,repository,,False,True,,"""Reports & Information"" from the Saudi Water Authority reads as a generic organizational content section rather than a genuine scholarly venue, and it does not match any candidate."
S7407060196,DRI,Desert Research Institute,repository,,False,True,,"""DRI"" is just an abbreviation for the publisher (Desert Research Institute) with no ISSN, appearing to be a bare organization name rather than a genuine named venue."
S7407060201,Vystupy NZM NAKI III_2025,National Museum of Agriculture,repository,,False,True,,"The name ""Vystupy NZM NAKI III_2025"" appears to be an internal project/output label (with a year suffix and underscore) rather than a genuine scholarly venue title."
S7407060202,WASL,Pakistan Digital Authority,repository,,False,True,,"""WASL"" is a vague, short, non-descriptive name with no ISSN and an unusual government-authority publisher, giving little indication it is a genuine scholarly venue."
S7407060204,AIND Prod Repo,The Allen Institute,repository,,False,True,,"The name ""AIND Prod Repo"" appears to be an internal/production test repository label rather than a genuine scholarly venue, with abbreviated/truncated wording and no ISSNs."
S7407060206,Centre for Environment and Population Activities,Afrischolar Discovery Initiative,repository,,False,True,,"The display name is that of an organization/centre rather than a scholarly venue, and the homepage domain (cepajournal.com) does not match the named entity, suggesting a mismatched or spurious record."
S7407060214,Envision,California Medical Innovations Institute,repository,,False,True,,"""Envision"" is a vague single-word name with no ISSN and appears to be a generic label or product rather than a genuine scholarly venue."
S7407060228,Sieć Badawcza Łukasiewicz - Instytut Technologii Materiałów Elektronicznych,PSNC Bucket,journal,,False,True,,"The name is a research institute (Łukasiewicz - Institute of Electronic Materials Technology), an organization masquerading as a journal, not a genuine scholarly venue."
S7407060232,Polskie Towarzystwo Historyczne,PSNC Bucket,repository,,False,True,,"""Polskie Towarzystwo Historyczne"" (Polish Historical Society) is an organization/society name rather than a scholarly venue title, and the ""PSNC Bucket"" publisher suggests a repository dump."
S7407060234,SDIRECT24,Deactivated repositories,repository,,False,True,,"The publisher ""Deactivated repositories"" and the cryptic name ""SDIRECT24"" suggest a defunct or placeholder record rather than a genuine, active scholarly venue."
S7407060237,Uniwersytet Jagielloński-Collegium Medicum,PSNC Bucket,repository,,False,True,,"""Uniwersytet Jagielloński-Collegium Medicum"" is a bare institution/organization name (a medical university), not a scholarly venue title."
S7407060238,Uniwersytet Zielonogórski,Deactivated repositories,journal,,False,True,,"The name ""Uniwersytet Zielonogórski"" (University of Zielona Góra) is a university/organization name, not a scholarly venue, and the publisher ""Deactivated repositories"" reinforces this is not a genuine journal."
S7407060242,Old DOIs Unil,FORS - Swiss Centre of Expertise in the Social Sciences,repository,,False,True,,"The name ""Old DOIs Unil"" appears to be an internal/administrative label for legacy DOIs rather than a genuine scholarly repository venue."
S7407060247,Eurac Research webpages/webtools,The European Academy of Bozen-Bolzano (Eurac Research),repository,,False,True,,"""Eurac Research webpages/webtools"" appears to be a catch-all bucket for institutional web content rather than a genuine scholarly venue."
S7407060248,Redundant DOIs with prefix 10.11585,Deactivated repositories,repository,,False,True,,"The name ""Redundant DOIs with prefix 10.11585"" with publisher ""Deactivated repositories"" is an administrative/junk artifact, not a genuine scholarly venue."
S7407060249,CAPTIVATE KY,Kentucky Science & Technology Corporation,repository,,False,True,,"""CAPTIVATE KY"" appears to be a program or platform name lacking ISSNs and clear scholarly venue characteristics, likely not a genuine scholarly repository."
S7407060254,FLEXPART,NILU - Norsk institutt for luftforskning,repository,,False,True,,"FLEXPART is the name of a Lagrangian particle dispersion model/software, not a scholarly publishing venue such as a journal or repository."
S7407060257,Shared Services Canada,Shared Services Canada,repository,,False,True,,"""Shared Services Canada"" is a government IT organization, not a scholarly venue; the name is a bare organization masquerading as a repository with no ISSN."
S7407060263,Abay Myrzakhmetov Kokshetau University,Deactivated repositories,repository,,False,True,,"The name is a university/organization rather than a venue title, and the publisher ""Deactivated repositories"" suggests a junk or defunct record."
S7407060264,Aquilon Ltd,Deactivated repositories,repository,,False,True,,"""Aquilon Ltd"" with publisher ""Deactivated repositories"" appears to be a company/organization name rather than a genuine scholarly venue, and the publisher label suggests a defunct/junk record."
S7407060265,Vaganova Academy of Russian Ballet,Deactivated repositories,repository,,False,True,,"""Vaganova Academy of Russian Ballet"" is the name of an educational institution/organization, not a scholarly venue, and the publisher ""Deactivated repositories"" suggests a defunct or junk record."
S7407060266,All-Russian Research Institute of Corn,Deactivated repositories,repository,,False,True,,"The name is a bare organization/institute name rather than a venue title, and the publisher ""Deactivated repositories"" suggests a defunct or junk record."
S7407060268,Larionov A.V.,Deactivated repositories,repository,,False,True,,"The display name ""Larionov A.V."" is a personal name, not a scholarly venue, and the publisher ""Deactivated repositories"" indicates a junk/defunct record."
S7407060270,Chelyabinsk Regional Children's Clinical Hospital,Deactivated repositories,repository,,False,True,,"The name is a hospital/organization rather than a scholarly venue, and the publisher ""Deactivated repositories"" suggests a defunct/invalid record."
S7407060274,THE EURASIAN HUMANITIES INSTITUTE,Deactivated repositories,repository,,False,True,,"The name is a bare organization/institute name rather than a scholarly venue title, and the publisher ""Deactivated repositories"" signals a junk or defunct record."
S7407060275,"LLC ""Info-Electrosvyaz""",Deactivated repositories,repository,,False,True,,"The name ""LLC Info-Electrosvyaz"" is a company/organization name, and the publisher ""Deactivated repositories"" indicates this is not a genuine active scholarly venue."
S7407060276,ElIT LLC,Deactivated repositories,repository,,False,True,,"""ElIT LLC"" appears to be a company/organization name with publisher ""Deactivated repositories,"" not a genuine scholarly venue."
S7407060278,Far Eastern Branch of the Russian Academy of Sciences,Deactivated repositories,repository,,False,True,,"The name is a bare organization/institution (Far Eastern Branch of the Russian Academy of Sciences) rather than a venue title, and the publisher ""Deactivated repositories"" suggests a junk/deactivated record."
S7407060280,Fodder Production,Deactivated repositories,repository,,False,True,,"The publisher ""Deactivated repositories"" suggests this is a defunct/placeholder repository, and ""Fodder Production"" reads as a topical phrase rather than a genuine venue title."
S7407060288,Institute of General Pathology and Pathophysiology,Repositories moved to a different RA,repository,,False,True,,"The name is a research institute/organization rather than a scholarly venue, and the publisher field (""Repositories moved to a different RA"") indicates a placeholder/administrative note, not a genuine repository title."
S7407060289,Firsova Y.G.,Deactivated repositories,repository,,False,True,,"The display name ""Firsova Y.G."" is a personal name, not a genuine scholarly venue, and the publisher ""Deactivated repositories"" suggests a junk/deactivated record."
S7407060292,Chuvash regional branch of the interregional public organization Academy of Informatization of Education,Deactivated repositories,repository,,False,True,,"The name is a bare organization/branch name masquerading as a venue, with publisher ""Deactivated repositories"" suggesting a defunct or junk record."
S7407060294,IRKUTSK STATE MEDICAL UNIVERSITY,Deactivated repositories,repository,,False,True,,"The display name is a bare organization/university name with no venue title, and the publisher ""Deactivated repositories"" suggests a defunct or junk record rather than a genuine scholarly venue."
S7407060296,"Federal State Budgetary Institution ""Institute of Pedagogy, Psychology and Social Problems""",Deactivated repositories,repository,,False,True,,"The name is a bare institution/organization name (a research institute) rather than a scholarly venue title, and the publisher ""Deactivated repositories"" suggests a junk/deactivated record."
S7407060297,Vitus Bering Kamchatka State University,Deactivated repositories,repository,,False,True,,"The name is that of a university (an organization/institution) rather than a scholarly venue title, and the publisher ""Deactivated repositories"" suggests a junk/deactivated record."
S7407060301,Media Mente Ltd,Deactivated repositories,repository,,False,True,,"The name ""Media Mente Ltd"" appears to be a company/organization name rather than a scholarly venue, and the publisher ""Deactivated repositories"" signals a defunct or invalid record."
S7407060303,"Interdepartmental Center for Analytical Research in Physics, Chemistry and Biology under the Presidium of the Russian Academy of Sciences",Deactivated repositories,repository,,False,True,,"This is the name of a research organization/institution rather than a scholarly venue, and the ""Deactivated repositories"" publisher suggests a defunct/invalid repository record."
S7407060304,National Center of Labor Hygiene and Occupational Diseases,Deactivated repositories,repository,,False,True,,"The name is a bare organization/institution name with publisher ""Deactivated repositories"", suggesting an org masquerading as a venue rather than a genuine scholarly repository."
S7407060305,North-Eastern Federal University,Deactivated repositories,repository,,False,True,,"The display_name is a bare university/organization name with publisher ""Deactivated repositories"", suggesting a defunct institutional repository rather than a genuine named scholarly venue."
S7407060310,LLC  POLIGRAFIST,Deactivated repositories,repository,,False,True,,"""LLC POLIGRAFIST"" is a company/printing-organization name with publisher ""Deactivated repositories"" and no ISSN, appearing to be a bare organization rather than a genuine scholarly venue."
S7407060313,N.I. Lobachevsky State University of Nizhni Novgorod - National Research University,Deactivated repositories,repository,,False,True,,"The name is a bare university/organization name with a ""Deactivated repositories"" publisher, indicating a defunct institutional repository rather than a genuine active scholarly venue."
S7407060314,Open Systems Publishings,Deactivated repositories,repository,,False,True,,"The name ""Open Systems Publishings"" appears garbled/generic and the publisher ""Deactivated repositories"" suggests a placeholder/junk record rather than a genuine venue."
S7407060315,Omsk F. M. Dostoevsky State University,Deactivated repositories,repository,,False,True,,"The display name is a bare university/organization name, not a venue title, and the publisher ""Deactivated repositories"" suggests a defunct or junk record."
S7407060316,Caspian Agrarian Federal Scientific Center of the Russian Academy of Sciences,Deactivated repositories,repository,,False,True,,"The name is a research organization/institution rather than a scholarly venue, and the publisher ""Deactivated repositories"" suggests a junk or defunct record."
S7407060317,Karto y Ov Ltd,Deactivated repositories,repository,,False,True,,"The name ""Karto y Ov Ltd"" looks like a garbled company name rather than a scholarly venue, and the publisher ""Deactivated repositories"" further signals a junk/inactive record."
S7407060319,Test,Deactivated repositories,repository,,False,False,S7407051059,"The display_name ""Test"" with publisher ""Deactivated repositories"" is a junk/placeholder record, not a genuine venue, and closely mirrors the existing ""Test"" repository candidates."
S7407060322,Publishing Group Logos,Deactivated repositories,repository,,False,True,,"""Publishing Group Logos"" with publisher ""Deactivated repositories"" appears to be junk metadata rather than a genuine scholarly venue."
S7407060324,PRINT-2 Ltd,Deactivated repositories,repository,,False,True,,"""PRINT-2 Ltd"" with publisher ""Deactivated repositories"" looks like a junk/company-name placeholder rather than a genuine scholarly venue."
